_id,area,baths_count,building_floors,date,district,flat_floor,neighborhood,price,rooms_count,warming_type
60bdd0a3d34df1b74c794621,115 m2,Uygun,11 Katlı,Bugün,Kadıköy,9. Kat,Suadiye,1.850.000 TL,3,Merkezi (Pay Ölçer)
60bdd0a6d34df1b74c794622,165 m2,Uygun değil,19 Katlı,3 Gün Önce,Esenyurt,8. Kat,Güzelyurt,999.000 TL,4,Kombi
60bdd0a8d34df1b74c794623,90 m2,Uygun,5 Katlı,4 Gün Önce,Küçükçekmece,4. Kat,Kemalpaşa,350.000 TL,3,Kombi
60bdd0acd34df1b74c794624,90 m2,Eşyalı Değil,7 Katlı,6 Gün Önce,Kadıköy,6. Kat,Suadiye,2.250.000 TL,3,Merkezi
60bdd0afd34df1b74c794625,80 m2,1,5 Katlı,4 Gün Önce,Kağıthane,3. Kat,Nurtepe,475.000 TL,3,Kombi
60bdd0b2d34df1b74c794626,110 m2,Kombi,null,6 Gün Önce,Esenyurt,2. Kat,Turgut Özal,487.000 TL,3,null
60bdd0b9d34df1b74c794627,130 m2,Uygun,4 Katlı,5 Gün Önce,Maltepe,1. Kat,Altıntepe,890.000 TL,4,Merkezi
60bdd0bcd34df1b74c794628,120 m2,6 Katlı,null,7 Gün Önce,Şişli,1. Kat,19 Mayıs,825.000 TL,4,Merkezi
60bdd0bed34df1b74c794629,65 m2,Uygun,15 Katlı,7 Gün Önce,Beylikdüzü,8. Kat,Cumhuriyet,450.000 TL,2,Merkezi
60bdd0c2d34df1b74c79462a,135 m2,Uygun,9 Katlı,6 Gün Önce,Kadıköy,4. Kat,Erenköy,1.250.000 TL,4,Merkezi (Pay Ölçer)
60bdd0c4d34df1b74c79462b,185 m2,Uygun,9 Katlı,3 Gün Önce,Kadıköy,9. Kat,Bostancı,1.350.000 TL,6,Kombi
60bdd0c7d34df1b74c79462c,145 m2,Uygun,6 Katlı,5 Gün Önce,Beylikdüzü,3. Kat,Beylikdüzü OSB,400.000 TL,4,Kombi
60bdd0cad34df1b74c79462d,180 m2,Eşyalı,3 Katlı,7 Gün Önce,Bakırköy,Bahçe Katı,Şenlikköy,1.850.000 TL,4,Kombi
60bdd0ced34df1b74c79462e,80 m2,Uygun,3 Katlı,5 Gün Önce,Kağıthane,Kot 1,Gültepe,360.000 TL,3,Kombi
60bdd0d1d34df1b74c79462f,130 m2,Eşyalı Değil,3 Katlı,2 Gün Önce,Büyükçekmece,3. Kat,Kumburgaz,580.000 TL,4,Kombi
60bdd0d5d34df1b74c794630,80 m2,Eşyalı Değil,4 Katlı,2 Gün Önce,Küçükçekmece,Yüksek Giriş,Sultan Murat,390.000 TL,3,Kombi
60bdd0d7d34df1b74c794631,290 m2,Uygun,9 Katlı,5 Gün Önce,Kadıköy,9. Kat,Fenerbahçe,10.000.000 TL,5,Merkezi (Pay Ölçer)
60bdd0d9d34df1b74c794632,90 m2,4 Katlı,null,2 Gün Önce,Maltepe,Yüksek Giriş,Cevizli,390.000 TL,3,Kombi
60bdd0dcd34df1b74c794633,180 m2,Uygun,7 Katlı,7 Gün Önce,Kadıköy,1. Kat,Erenköy,1.495.000 TL,4,Merkezi
60bdd0e1d34df1b74c794634,80 m2,Uygun,4 Katlı,7 Gün Önce,Çekmeköy,2. Kat,Ekşioğlu,525.000 TL,3,Kombi
60bdd0e4d34df1b74c794635,140 m2,Uygun,8 Katlı,6 Gün Önce,Kadıköy,1. Kat,Bostancı,1.350.000 TL,4,Kombi
60bdd0e8d34df1b74c794636,125 m2,5 Katlı,null,6 Gün Önce,Bahçelievler,4. Kat,Siyavuşpaşa,675.000 TL,4,Kombi
60bdd0ead34df1b74c794637,80 m2,Uygun,5 Katlı,2 Gün Önce,Bahçelievler,Bahçe Katı,Siyavuşpaşa,350.000 TL,3,Kombi
60bdd0eed34df1b74c794638,70 m2,Uygun,5 Katlı,3 Gün Önce,Kağıthane,1. Kat,Çeliktepe,360.000 TL,3,Kombi
60bdd0f0d34df1b74c794639,95 m2,Eşyalı Değil,4 Katlı,Dün,Kağıthane,Kot 1,Çeliktepe,235.000 TL,3,Kombi
60bdd0f3d34df1b74c79463a,100 m2,Eşyalı Değil,5 Katlı,Dün,Şişli,3. Kat,Duatepe,600.000 TL,3,Kombi
60bdd0f6d34df1b74c79463b,140 m2,Uygun,12 Katlı,3 Gün Önce,Kadıköy,9. Kat,Fenerbahçe,4.130.000 TL,4,Kombi
60bdd0f9d34df1b74c79463c,154 m2,Uygun,10 Katlı,5 Gün Önce,Kadıköy,7. Kat,Suadiye,2.775.000 TL,4,Kombi
60bdd0fcd34df1b74c79463d,90 m2,Uygun,4 Katlı,Dün,Üsküdar,3. Kat,Salacak,3.000.000 TL,3,Kombi
60bdd101d34df1b74c79463e,85 m2,Eşyalı Değil,12 Katlı,3 Gün Önce,Ataşehir,6. Kat,Kayışdağı,520.000 TL,3,Merkezi (Pay Ölçer)
60bdd10fd34df1b74c79463f,280 m2,Uygun,12 Katlı,7 Gün Önce,Kadıköy,12. Kat,Bostancı,4.600.000 TL,7,Kombi
60bdd118d34df1b74c794640,180 m2,Eşyalı Değil,4 Katlı,3 Gün Önce,Büyükçekmece,4. Kat,Dizdariye,700.000 TL,4,Kombi
60bdd121d34df1b74c794641,140 m2,Uygun,8 Katlı,Bugün,Kadıköy,2. Kat,Sahrayı Cedit,1.095.000 TL,4,Merkezi (Pay Ölçer)
60bdd12cd34df1b74c794642,130 m2,Eşyalı Değil,17 Katlı,7 Gün Önce,Kağıthane,6. Kat,Seyrantepe,2.550.000 TL,4,Merkezi
60bdd131d34df1b74c794643,150 m2,Uygun,9 Katlı,3 Gün Önce,Kadıköy,2. Kat,Bostancı,1.745.000 TL,4,Kombi
60bdd135d34df1b74c794644,110 m2,Uygun,5 Katlı,2 Gün Önce,Üsküdar,Giriş Katı,Çengelköy,670.000 TL,3,Merkezi
60bdd139d34df1b74c794645,65 m2,Eşyalı Değil,7 Katlı,2 Gün Önce,Kağıthane,Kot 2,Ortabayır,235.000 TL,2,Kombi
60bdd13cd34df1b74c794646,150 m2,8 Katlı,null,Dün,Kadıköy,1. Kat,Bostancı,1.375.000 TL,4,Kombi
60bdd13fd34df1b74c794647,100 m2,Eşyalı Değil,4 Katlı,5 Gün Önce,Fatih,4. Kat,Seyyid Ömer,560.000 TL,3,Kombi
60bdd143d34df1b74c794648,140 m2,Uygun,5 Katlı,7 Gün Önce,Kadıköy,3. Kat,Göztepe,1.420.000 TL,4,Merkezi
60bdd146d34df1b74c794649,326 m2,Uygun,4 Katlı,6 Gün Önce,Bakırköy,4. Kat,Yeşilyurt,6.500.000 TL,6,Kombi
60bdd14ad34df1b74c79464a,350 m2,Eşyalı Değil,5 Katlı,3 Gün Önce,Beşiktaş,2. Kat,Ulus,13.000.000 TL,5,Merkezi
60bdd14ed34df1b74c79464b,65 m2,Uygun,4 Katlı,3 Gün Önce,Maltepe,Giriş Katı,Altıntepe,440.000 TL,2,Kombi
60bdd150d34df1b74c79464c,80 m2,Eşyalı Değil,4 Katlı,7 Gün Önce,Ümraniye,3. Kat,Namık Kemal,575.000 TL,3,Kombi
60bdd154d34df1b74c79464d,145 m2,Uygun,8 Katlı,5 Gün Önce,Kadıköy,8. Kat,Suadiye,2.450.000 TL,4,Kombi
60bdd159d34df1b74c79464e,135 m2,Eşyalı Değil,4 Katlı,4 Gün Önce,Maltepe,Giriş Katı,Küçükyalı,675.000 TL,4,Kombi
60bdd15cd34df1b74c79464f,100 m2,Uygun,4 Katlı,5 Gün Önce,Esenyurt,1. Kat,Güzelyurt,319.000 TL,3,Kombi
60bdd15fd34df1b74c794650,220 m2,Merkezi,null,3 Gün Önce,Sarıyer,Bahçe Katı,Tarabya,7.750.000 TL,5,null
60bdd163d34df1b74c794651,135 m2,Eşyalı Değil,4 Katlı,5 Gün Önce,Büyükçekmece,2. Kat,Fatih,910.000 TL,4,Kombi
60bdd165d34df1b74c794652,70 m2,Eşyalı Değil,3 Katlı,3 Gün Önce,Küçükçekmece,Bahçe Katı,Yeşilova,225.000 TL,2,Kombi
60bdd168d34df1b74c794653,185 m2,Eşyalı Değil,16 Katlı,4 Gün Önce,Beylikdüzü,7. Kat,Adnan Kahveci,880.000 TL,4,Kombi
